time, Quad.IMU.AX
1.835030,-0.369667
1.840030,-0.548700
1.845030,0.498761
1.850030,0.306389
1.855031,-0.187103
1.860031,-0.770025
1.865031,-0.269248
1.870031,0.544975
1.875032,0.371049
1.880032,0.086371
1.885032,-0.212706
1.890032,-0.824058
1.895033,0.089428
1.900033,-0.157389
1.905033,-1.187431
1.910033,0.403327
1.915033,0.087813
1.920034,-0.602252
1.925034,0.098834
1.930034,0.620669
1.935034,-0.065498
1.940035,0.209166
1.945035,-0.044094
1.950035,0.426702
1.955035,-0.082332
1.960036,-0.403470
1.965036,-0.584504
1.970036,0.543106
1.975036,-0.393821
1.980036,-0.211397
1.985037,0.404826
1.990037,-0.309410
1.995037,0.416056
2.000037,0.199854
2.005037,-0.407176
2.010037,0.359228
2.015036,0.205078
2.020036,0.213858
2.025036,0.207758
2.030035,-0.380754
2.035035,0.589567
2.040035,0.355390
2.045034,-0.498808
2.050034,0.047137
2.055033,0.808653
2.060033,-0.232878
2.065033,-0.355768
2.070032,-0.034189
2.075032,-0.289934
2.080032,-0.420401
2.085031,0.566955
2.090031,0.072201
2.095031,-0.575989
2.100030,0.291995
2.105030,-0.170098
2.110029,0.886521
2.115029,-0.718726
2.120029,-0.306430
2.125028,-0.019620
2.130028,0.727294
2.135028,-0.353481
2.140027,-1.905256
2.145027,0.292305
2.150027,-0.260348
2.155026,0.126773
2.160026,0.471215
2.165025,-0.334244
2.170025,-0.729267
2.175025,-0.469177
2.180024,0.142968
2.185024,0.422750
2.190024,-0.108869
2.195023,0.259985
2.200023,-0.584472
2.205023,0.030325
2.210022,0.671008
2.215022,1.214285
2.220021,-0.318153
2.225021,-0.628127
2.230021,0.350352
2.235020,-0.034559
2.240020,-0.033973
2.245020,-0.565796
2.250019,-0.703872
2.255019,-0.947627
2.260019,-1.345667
2.265018,-0.181922
2.270018,0.197770
2.275017,0.328217
2.280017,0.766801
2.285017,-0.218086
2.290016,0.074503
2.295016,-0.696708
2.300016,0.932521
2.305015,0.084311
2.310015,0.812453
2.315015,0.388162
2.320014,1.021902
2.325014,0.205653
2.330014,-0.051932
2.335013,-0.130817
2.340013,-0.474332
2.345012,0.148041
2.350012,0.726869
2.355012,-0.392958
2.360011,0.290186
2.365011,-0.766127
2.370011,0.694147
2.375010,0.189107
2.380010,-0.087607
2.385010,-1.253325
2.390009,-0.384670
2.395009,0.014073
2.400008,0.103701
2.405008,-0.045902
2.410008,-0.274532
2.415007,-0.104435
2.420007,0.556713
2.425007,0.339982
